"","team1","team2","hist_win","hist_lost","hist_rate"
"2","ATL","BKN",24,20,0.545454545454545
"3","ATL","BOS",22,22,0.5
"4","ATL","CHA",26,22,0.541666666666667
"5","ATL","CHI",20,22,0.476190476190476
"6","ATL","CLE",24,20,0.545454545454545
"7","ATL","DAL",20,4,0.833333333333333
"8","ATL","DEN",16,8,0.666666666666667
"9","ATL","DET",24,20,0.545454545454545
"10","ATL","GS",2,22,0.0833333333333333
"11","ATL","HOU",14,10,0.583333333333333
"12","ATL","IND",22,22,0.5
"13","ATL","LAC",10,14,0.416666666666667
"14","ATL","LAL",10,14,0.416666666666667
"15","ATL","MEM",14,10,0.583333333333333
"16","ATL","MIA",20,28,0.416666666666667
"17","ATL","MIL",28,14,0.666666666666667
"18","ATL","MIN",10,14,0.416666666666667
"19","ATL","NO",12,12,0.5
"20","ATL","NY",22,20,0.523809523809524
"21","ATL","OKC",8,16,0.333333333333333
"22","ATL","ORL",30,18,0.625
"23","ATL","PHI",30,12,0.714285714285714
"24","ATL","PHO",12,12,0.5
"25","ATL","POR",14,10,0.583333333333333
"26","ATL","SA",4,20,0.166666666666667
"27","ATL","SAC",18,6,0.75
"28","ATL","TOR",16,28,0.363636363636364
"29","ATL","UTA",18,6,0.75
"30","ATL","WAS",24,24,0.5
"31","BKN","ATL",20,24,0.454545454545455
"33","BKN","BOS",18,30,0.375
"34","BKN","CHA",18,24,0.428571428571429
"35","BKN","CHI",16,26,0.380952380952381
"36","BKN","CLE",16,28,0.363636363636364
"37","BKN","DAL",12,12,0.5
"38","BKN","DEN",14,10,0.583333333333333
"39","BKN","DET",22,22,0.5
"40","BKN","GS",4,20,0.166666666666667
"41","BKN","HOU",6,18,0.25
"42","BKN","IND",14,30,0.318181818181818
"43","BKN","LAC",8,16,0.333333333333333
"44","BKN","LAL",8,16,0.333333333333333
"45","BKN","MEM",10,14,0.416666666666667
"46","BKN","MIA",16,28,0.363636363636364
"47","BKN","MIL",14,28,0.333333333333333
"48","BKN","MIN",10,14,0.416666666666667
"49","BKN","NO",8,16,0.333333333333333
"50","BKN","NY",22,26,0.458333333333333
"51","BKN","OKC",12,12,0.5
"52","BKN","ORL",26,18,0.590909090909091
"53","BKN","PHI",26,22,0.541666666666667
"54","BKN","PHO",18,6,0.75
"55","BKN","POR",8,16,0.333333333333333
"56","BKN","SA",4,20,0.166666666666667
"57","BKN","SAC",14,10,0.583333333333333
"58","BKN","TOR",14,34,0.291666666666667
"59","BKN","UTA",8,16,0.333333333333333
"60","BKN","WAS",14,28,0.333333333333333
"61","BOS","ATL",22,22,0.5
"62","BOS","BKN",30,18,0.625
"64","BOS","CHA",30,12,0.714285714285714
"65","BOS","CHI",20,24,0.454545454545455
"66","BOS","CLE",20,22,0.476190476190476
"67","BOS","DAL",10,14,0.416666666666667
"68","BOS","DEN",16,8,0.666666666666667
"69","BOS","DET",22,20,0.523809523809524
"70","BOS","GS",8,16,0.333333333333333
"71","BOS","HOU",8,16,0.333333333333333
"72","BOS","IND",22,20,0.523809523809524
"73","BOS","LAC",8,16,0.333333333333333
"74","BOS","LAL",12,12,0.5
"75","BOS","MEM",12,12,0.5
"76","BOS","MIA",24,18,0.571428571428571
"77","BOS","MIL",22,22,0.5
"78","BOS","MIN",16,8,0.666666666666667
"79","BOS","NO",10,14,0.416666666666667
"80","BOS","NY",30,18,0.625
"81","BOS","OKC",8,16,0.333333333333333
"82","BOS","ORL",32,12,0.727272727272727
"83","BOS","PHI",34,14,0.708333333333333
"84","BOS","PHO",16,8,0.666666666666667
"85","BOS","POR",12,12,0.5
"86","BOS","SA",2,22,0.0833333333333333
"87","BOS","SAC",16,8,0.666666666666667
"88","BOS","TOR",20,28,0.416666666666667
"89","BOS","UTA",18,6,0.75
"90","BOS","WAS",24,20,0.545454545454545
"91","CHA","ATL",22,26,0.458333333333333
"92","CHA","BKN",24,18,0.571428571428571
"93","CHA","BOS",12,30,0.285714285714286
"95","CHA","CHI",18,26,0.409090909090909
"96","CHA","CLE",12,30,0.285714285714286
"97","CHA","DAL",12,12,0.5
"98","CHA","DEN",14,10,0.583333333333333
"99","CHA","DET",22,20,0.523809523809524
"100","CHA","GS",6,18,0.25
"101","CHA","HOU",2,22,0.0833333333333333
"102","CHA","IND",20,24,0.454545454545455
"103","CHA","LAC",4,20,0.166666666666667
"104","CHA","LAL",14,10,0.583333333333333
"105","CHA","MEM",12,12,0.5
"106","CHA","MIA",12,36,0.25
"107","CHA","MIL",28,16,0.636363636363636
"108","CHA","MIN",18,6,0.75
"109","CHA","NO",6,18,0.25
"110","CHA","NY",24,20,0.545454545454545
"111","CHA","OKC",6,18,0.25
"112","CHA","ORL",36,12,0.75
"113","CHA","PHI",22,22,0.5
"114","CHA","PHO",10,14,0.416666666666667
"115","CHA","POR",6,18,0.25
"116","CHA","SA",2,22,0.0833333333333333
"117","CHA","SAC",14,10,0.583333333333333
"118","CHA","TOR",20,24,0.454545454545455
"119","CHA","UTA",8,16,0.333333333333333
"120","CHA","WAS",28,20,0.583333333333333
"121","CHI","ATL",22,20,0.523809523809524
"122","CHI","BKN",26,16,0.619047619047619
