"","teamname","confname","1st","2nd","3rd","4th","5th","6th","7th","8th","total"
"28","TOR","East",945,54,1,0,0,0,0,0,1000
"3","BOS","East",54,842,80,15,8,1,0,0,1000
"16","MIA","East",0,2,103,185,237,228,171,65,991
"6","CLE","East",0,19,239,232,184,168,100,48,990
"12","IND","East",1,27,193,211,198,159,139,57,985
"23","PHI","East",0,42,307,218,170,118,74,53,982
"30","WAS","East",0,14,57,103,146,197,258,197,972
"17","MIL","East",0,0,20,36,54,118,201,382,811
"4","CHA","East",0,0,0,0,3,10,41,143,197
"9","DET","East",0,0,0,0,0,1,16,50,67
"5","CHI","East",0,0,0,0,0,0,0,4,4
"20","NY","East",0,0,0,0,0,0,0,1,1
"1","ATL","East",0,0,0,0,0,0,0,0,0
"2","BKN","East",0,0,0,0,0,0,0,0,0
"22","ORL","East",0,0,0,0,0,0,0,0,0
"11","HOU","West",678,322,0,0,0,0,0,0,1000
"10","GS","West",322,678,0,0,0,0,0,0,1000
"25","POR","West",0,0,648,141,71,62,33,25,980
"29","UTA","West",0,0,115,294,225,142,92,58,926
"8","DEN","West",0,0,54,139,161,187,171,135,847
"21","OKC","West",0,0,64,129,155,134,152,146,780
"18","MIN","West",0,0,25,100,102,145,144,153,669
"13","LAC","West",0,0,45,73,89,125,136,177,645
"19","NO","West",0,0,35,60,91,103,147,149,585
"26","SA","West",0,0,14,64,106,102,117,145,548
"14","LAL","West",0,0,0,0,0,0,8,12,20
"7","DAL","West",0,0,0,0,0,0,0,0,0
"15","MEM","West",0,0,0,0,0,0,0,0,0
"24","PHO","West",0,0,0,0,0,0,0,0,0
"27","SAC","West",0,0,0,0,0,0,0,0,0
