"","teamname","confname","homerate","awayrate","last10","homescorewin","homescorelost","awayscorewin","awayscorelost","confrate","numberdayoff","lastgame","totalmatch","confmatch","homematch","awaymatch","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10"
"1","ATL","East",0.428571428571429,0.15625,0.2,105.342857142857,108.228571428571,101.6875,108.9375,0.209302325581395,2,"Away",67,43,35,32,1,1,1,2,1,2,1,1,1,1
"2","BKN","East",0.352941176470588,0.272727272727273,0.2,105.205882352941,108.382352941176,106.575757575758,111.939393939394,0.358974358974359,3,"Away",67,39,34,33,1,2,1,1,1,1,2,1,1,1
"3","BOS","East",0.657142857142857,0.71875,0.6,104.485714285714,99.7428571428571,104.40625,100.65625,0.674418604651163,3,"Away",67,43,35,32,1,2,2,1,2,2,2,2,1,1
"4","CHA","East",0.527777777777778,0.32258064516129,0.5,108.5,107.25,104.903225806452,107.548387096774,0.425,1,"Home",67,40,36,31,2,1,1,1,1,1,2,2,2,2
"5","CHI","East",0.454545454545455,0.242424242424242,0.3,102.969696969697,105.878787878788,103.939393939394,112.969696969697,0.45,2,"Away",66,40,33,33,2,1,2,1,2,1,1,1,1,1
"6","CLE","East",0.666666666666667,0.484848484848485,0.4,110.909090909091,111.030303030303,109.151515151515,109.151515151515,0.658536585365854,2,"Away",66,41,33,33,1,1,2,2,1,1,2,1,2,1
"7","DAL","West",0.388888888888889,0.225806451612903,0.3,103.972222222222,103.138888888889,100.354838709677,106.645161290323,0.266666666666667,1,"Home",67,45,36,31,1,2,2,1,1,1,2,1,1,1
"8","DEN","West",0.722222222222222,0.354838709677419,0.6,112.027777777778,105.861111111111,105.903225806452,110.161290322581,0.533333333333333,2,"Home",67,45,36,31,2,2,1,1,2,2,1,1,2,2
"9","DET","East",0.6,0.290322580645161,0.3,105.257142857143,102.428571428571,100.612903225806,105.935483870968,0.422222222222222,2,"Home",66,45,35,31,2,1,1,1,1,2,1,1,1,2
"10","GS","West",0.787878787878788,0.735294117647059,0.7,115.333333333333,105.424242424242,115.941176470588,110,0.682926829268293,2,"Away",67,41,33,34,1,1,2,2,2,2,2,2,2,1
"11","HOU","West",0.806451612903226,0.771428571428571,0.9,116.387096774194,107.548387096774,111.457142857143,102.485714285714,0.8,2,"Away",66,40,31,35,2,1,2,2,2,2,2,2,2,2
"12","IND","East",0.657142857142857,0.5,0.7,106.685714285714,103.342857142857,105.25,105.46875,0.644444444444444,2,"Home",67,45,35,32,2,2,1,2,2,2,1,1,2,2
"13","LAC","West",0.588235294117647,0.516129032258065,0.7,110.352941176471,107.441176470588,108.354838709677,108.741935483871,0.536585365853659,1,"Home",65,41,34,31,2,2,1,2,2,1,2,2,1,2
